Ayurvedic_Diagnosis,Near_Correlated_English_Equivalent,Category,Sub_Category,Symptom_P1,Symptom_P2,Remarks 
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,WEAKNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,VERTIGO,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,VAGINA,Vaginal prolapse,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,VAGINA,Uterine prolapse,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,GENERAL ABDOMEN,Upward Movement of Air in Abdomen,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,SCROTUM,TWITCHING,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,ARMS,TREMORS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,TREMORS,,
Vata Dosha,Disorders of Vata,Upper Body,CHEST,TREMORS,,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,TREMORS,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,HANDS,TREMORS,,
Vata Dosha,Disorders of Vata,Head & Face,HEAD,TREMORS,,
Vata Dosha,Disorders of Vata,LOWER BODY,LEGS,TREMORS,,
Vata Dosha,Disorders of Vata,Neck & Throat,NECK,TREMORS,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,Transient darkness or dimming sensation before the eyes,,
Vata Dosha,Disorders of Vata,Neck & Throat,NECK,TORTICOLLIS,,
Vata Dosha,Disorders of Vata,Head & Face,EARS,Tinnitus,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Behavioural Abnormalities,Strong excitement for sexual activity,,
Vata Dosha,Disorders of Vata,Back & Spine,SACRAL REGION,STIFFNESS ,,
Vata Dosha,Disorders of Vata,LOWER BODY,ANKLES,STIFFNESS,,
Vata Dosha,Disorders of Vata,Back & Spine,BACK,STIFFNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,STIFFNESS,,
Vata Dosha,Disorders of Vata,Head & Face,EYE LIDS,STIFFNESS,,
Vata Dosha,Disorders of Vata,Head & Face,JAWS,STIFFNESS,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,PELVIC GIRDLE,STIFFNESS,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,PENIS,STIFFNESS,,
Vata Dosha,Disorders of Vata,Neck & Throat,Sternomastoid Region,STIFFNESS,,
Vata Dosha,Disorders of Vata,LOWER BODY,THIGHS,STIFFNESS,,
Vata Dosha,Disorders of Vata,Back & Spine,WAIST,STIFFNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Speech and Voice Disorders,Stuttering,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,SQUINT,,
Vata Dosha,Disorders of Vata,Skin & External Features,Cutaneous symptoms,Skin cracking,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,SHIVERING ,,
Vata Dosha,Disorders of Vata,Head & Face,TEETH,SENSITIVITY,,
Vata Dosha,Disorders of Vata,LOWER BODY,Entire lower body,SCIATICA,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,ROUGHNESS,,
Vata Dosha,Disorders of Vata,Head & Face,FACE,ROUGHNESS,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,NAILS,ROUGHNESS,,
Vata Dosha,Disorders of Vata,Skin & External Features,PATCHES,ROUGHNESS,,On the edges
Vata Dosha,Disorders of Vata,Skin & External Features,SKIN,ROUGHNESS,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,URETHRA,ROUGHNESS,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,VAGINA,ROUGHNESS,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,ANUS,ROUGHNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,SWELLING,ROUGH,,
Vata Dosha,Disorders of Vata,Skin & External Features,Cutaneous symptoms,Reduced tactile sense,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,VAGINA,RECTOCELE,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,ANUS,Rectal prolapse,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Neuromuscular Disorders,QUADRIPLEGIA,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,PTOSIS,,
Vata Dosha,Disorders of Vata,Upper Body,CARDIAC REGION,Persistent sensation of hollowness or void,,
Vata Dosha,Disorders of Vata,Vital Organs,Heart,Abnormal Heart Rhythm,Palpitations,
Vata Dosha,Disorders of Vata,LOWER BODY,ANKLES,PAIN,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,ANUS,PAIN,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,PAIN,PRESSING,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,PAIN,CUTTING,
Vata Dosha,Disorders of Vata,LOWER BODY,CALFS,PAIN,,
Vata Dosha,Disorders of Vata,Upper Body,CARDIAC REGION,PAIN,RUBBING,
Vata Dosha,Disorders of Vata,Upper Body,CHEST,PAIN,RUBBING,
Vata Dosha,Disorders of Vata,Upper Body,CHEST,PAIN,NEEDLING,
Vata Dosha,Disorders of Vata,Body Waste & Excretions,DEFECATION,PAIN,,
Vata Dosha,Disorders of Vata,Head & Face,EARS,PAIN,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,PAIN,,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,PAIN,,
Vata Dosha,Disorders of Vata,Head & Face,FOREHEAD,PAIN,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,GENERAL ABDOMEN,PAIN,TWISTING,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,GROINS,PAIN,,
Vata Dosha,Disorders of Vata,Head & Face,HEAD,PAIN,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,ILIAC REGION,PAIN,,STRICTLY TIED
Vata Dosha,Disorders of Vata,Head & Face,JAWS,PAIN,CRACKING,
Vata Dosha,Disorders of Vata,Head & Face,JAWS,PAIN,,
Vata Dosha,Disorders of Vata,LOWER BODY,KNEES,PAIN,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,LUMBAR REGION,PAIN,CHURNING,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,LUMBAR REGION,PAIN,SCISSORING,
Vata Dosha,Disorders of Vata,Vital Organs,LUNGS,PAIN,RUBBING,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,PELVIC GIRDLE,PAIN,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,PELVIC REGION,PAIN,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,SCROTUM,PAIN,,
Vata Dosha,Disorders of Vata,Head & Face,TEETH,PAIN,CRACKING,
Vata Dosha,Disorders of Vata,Head & Face,TEETH,PAIN,,
Vata Dosha,Disorders of Vata,Head & Face,TEMPORAL REGION,PAIN,,
Vata Dosha,Disorders of Vata,LOWER BODY,THIGHS,PAIN,,
Vata Dosha,Disorders of Vata,Back & Spine,WAIST,PAIN,TEARING,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,NUMBNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,MUTISM,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Neuromuscular Disorders,MONOPLEGIA,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,Misalignment of eyes,,
Vata Dosha,Disorders of Vata,Head & Face,EYEBROWS,Misalignment of Eyebrows,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,MENTAL INSTABILITY,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Speech and Voice Disorders,LOSS OF VOICE,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Speech and Voice Disorders,LOSS OF VOICE,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,Loss of Vision,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,Loss of Vision,,
Vata Dosha,Disorders of Vata,Head & Face,TOUNGE,LOSS OF TASTE,,
Vata Dosha,Disorders of Vata,Head & Face,NOSE,LOSS OF SMELL,,
Vata Dosha,Disorders of Vata,LOWER BODY,THIGHS,LOSS OF MOVEMENTS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Loss of Courage,,
Vata Dosha,Disorders of Vata,Head & Face,TEETH,Loosening of teeth,,
Vata Dosha,Disorders of Vata,LOWER BODY,KNEES,LOOSENESS,,
Vata Dosha,Disorders of Vata,Head & Face,JAWS,LOCKJAW,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,Fatigue,,
Vata Dosha,Disorders of Vata,LOWER BODY,THIGHS,Fatigue,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Walking Abnormalities,LAMENESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,Involuntary movements of body parts,,
